sentence_id	person	sentence	scene	context
1	어영	야! 전화 받아. 아무리 바빠도 내전화는 받아야 되는거 아냐? 약속 하나도 못지키는 주제에 법을 지켜?	S0104	NaN
2	어영	우리 아무래도 안되겠다. 이게 최선인거 같애. 평생 잊지 않을게. 행복하길 바란다.	S0108	포기한듯 탁 일어서는데, 띵동 문자. 후다닥 보는 어영. 기막혀 읽어보는
3	지구대	김경사님, 아직 안가셨어요? 시간 다됐을텐데.	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
4	순경	근무중인데 어딜가?	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
5	지구대	다녀오세요. 이런날은 무조건 가서 축하해주셔야죠. 이순경이 대신 근무선다고 나온대요.	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
6	순경	그럴거 없어.	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
7	지구대	막내 아드님 모범경찰상 받으시는데 직접 보셔야죠. 얼마나 자랑스럽습니까?	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
8	순경	그럼 얼른 갔다올게. 고마워 지경사. 저녁에 집으로 와.	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
9	지구대	오늘은 빠질게요. 가족분들끼리 하세요.	S0109	초조하게 시계보면서 왔다갔다 서성이는 김순경. 순찰차(경차)와서 멈추고 내리는 지구대
34	과자	아들 표창장 받는 동안 아부진 뭐했대?	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
35	순경	뭐?	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
36	과자	그냥 넘어가요. 입 심심해서 혼자 지껄여 봤네요.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
37	현찰	아부지, 저 먼저 가봐야겠는데요.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
38	순경	오늘 중요한 일있다 그랬지? 얼른 가봐라.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
39	과자	사진이라도 박고 가지.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
40	순경	아까 한방 박았으면 됐지 뭘 더박아? 얼른 가봐라.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
41	현찰	예 그럼.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
42	이상	아부지!	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
43	순경	장하다. 잘했어.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
44	과자	세상에, 우리 막내. 최고다 최고.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
45	이상	어허, 전여사.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
46	과자	아무리 내속으로 낳은 내자식이지만 니가 젤로 멋지드라. 너땜에 재미져 죽겠다.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
47	순경	어디가서 점심이라도 먹을래?	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
48	이상	바로 들어가 봐야됩니다.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
49	과자	그럼 저녁에 맛있는거 해놀테니 일찍와. 우리 늙은것들도 슬슬 가봅시다.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
50	이상	전여사, 집에서 봐.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
51	순경	김이상 경감님!	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
52	이상	아부지...	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
53	순경	정말 충심을 다해 민중의 지팡이가 돼주시기 바랍니다.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
54	이상	그말씀 꼭 명심하겠습니다.	S0115	경찰들에 둘러싸여 축하받는 이상. 사람들도 사진찍고 시끌벅적. 좀 떨어져 그 모습보는 식구들
60	도우미	예 도련님. 식 끝났어요? 어머님 아버님 좋아하시죠?	S0119	NaN
61	이상	예. 근데 뭐하러 꽃은 보내셨어요?  사랑합니다 형수님. 저녁준비 너무 많이하지 마세요.	S0120	NaN
62	우미	덕분에 저도 얻어 먹을려구요. 도련님. 특별히 드시고 싶은거 있음 말씀하세요.	S0121	NaN
63	우미	하루라도 조용할 날이 없네 조용할 날이 없어. 누가 니들같은거 낳고 미역국 먹었다니?	S0122	장바구니 든채 우악스레 애들 양손잡아 끌고가는 도우미. 엎어질듯 질질끌려가는 애들. 그모습 전형적인 억척아줌마
64	혼수상태	엄마가.	S0122	장바구니 든채 우악스레 애들 양손잡아 끌고가는 도우미. 엎어질듯 질질끌려가는 애들. 그모습 전형적인 억척아줌마
65	우미	너네 꼼짝말고 서있어. 왜?	S0122	장바구니 든채 우악스레 애들 양손잡아 끌고가는 도우미. 엎어질듯 질질끌려가는 애들. 그모습 전형적인 억척아줌마
66	현찰	횟감은 뜨지 말라고. 내가 떠갈게. 어머니 회 좋아하시잖아.	S0122	장바구니 든채 우악스레 애들 양손잡아 끌고가는 도우미. 엎어질듯 질질끌려가는 애들. 그모습 전형적인 억척아줌마
67	우미	회는 나도 좋아해. 나 지금 모델하우스 앞인데 들어가볼려고.	S0122	장바구니 든채 우악스레 애들 양손잡아 끌고가는 도우미. 엎어질듯 질질끌려가는 애들. 그모습 전형적인 억척아줌마
71	우미	장남있잖아. 둘째가 그만큼 모셨으면 됐지.  약속은 약속이야. 무조건 지켜.	S0124	NaN
72	현찰	나중에 얘기해.	S0124	NaN
73	우미	나중에 언제? 여보세요?	S0124	NaN
85	과자	나다. 뭐한다니?	S0127	NaN
86	건강	일하지 뭐해.	S0128	NaN
87	과자	어지간하면 왔다가지. 아부지 한소리 하시드라.	S0128	NaN
88	건강	죄송해요.	S0128	NaN
92	건강	왜?	S0130	NaN
93	과자	오늘은 무슨일이 있어도 꼭 같이 와.	S0130	NaN
94	건강	같이?	S0130	NaN
95	과자	어떻게 며느리가 돼갖구 시댁에 코빼기도 안비치냐? 얼굴도 까먹겠다.	S0130	NaN
96	건강	엄마, 오늘말고 담에 갈게. 야근이다 뭐다해서 나도 얼굴보기 힘들어.	S0130	NaN
97	과자	오래면 와. 느이 아부지도 반은 풀리신거 같고, 나도 따로 할말 있으니까.	S0131	NaN
99	종남	엄마! 가지마. 엄마!	S0135	초라한 시골 낡은 동네수퍼. 유리문 와락 열리고 뛰쳐 나오는 청난. 눈물 쏟으며 달리고, 뒤따라 울며 쫓아나오는 종남
100	과자	오골계는 어쨌다니?	S0138	음식하느라 정신없는 주방. 전부치는 우미
