sentence_id,label
1,dysphoria
2,dysphoria
3,neutral
4,dysphoria
5,euphoria
6,neutral
7,euphoria
8,euphoria
9,euphoria
34,dysphoria
35,dysphoria
36,dysphoria
37,neutral
38,neutral
39,dysphoria
40,dysphoria
41,neutral
42,euphoria
43,euphoria
44,euphoria
45,euphoria
46,euphoria
47,euphoria
48,neutral
49,euphoria
50,euphoria
51,euphoria
52,neutral
53,euphoria
54,euphoria
60,euphoria
61,euphoria
62,euphoria
63,dysphoria
64,dysphoria
65,dysphoria
66,euphoria
67,neutral
71,dysphoria
72,dysphoria
73,dysphoria
85,neutral
86,neutral
87,dysphoria
88,dysphoria
92,neutral
93,neutral
94,neutral
95,dysphoria
96,dysphoria
97,dysphoria
99,dysphoria
100,neutral
101,neutral
102,dysphoria
103,neutral
104,dysphoria
105,dysphoria
106,dysphoria
107,dysphoria
108,dysphoria
109,dysphoria
110,dysphoria
111,dysphoria
112,dysphoria
113,dysphoria
114,dysphoria
115,dysphoria
116,dysphoria
117,dysphoria
118,dysphoria
120,dysphoria
121,dysphoria
122,euphoria
123,euphoria
124,euphoria
125,euphoria
126,euphoria
127,euphoria
128,euphoria
129,euphoria
130,euphoria
131,euphoria
132,euphoria
133,euphoria
134,euphoria
135,euphoria
136,neutral
137,euphoria
138,euphoria
139,euphoria
140,euphoria
141,euphoria
142,euphoria
143,dysphoria
144,dysphoria
145,euphoria
146,neutral
147,euphoria
148,euphoria
149,neutral
150,euphoria
151,euphoria
152,dysphoria
153,dysphoria
154,dysphoria
155,dysphoria
156,dysphoria
157,dysphoria
158,dysphoria
159,dysphoria
160,euphoria
161,dysphoria
162,dysphoria
163,euphoria
164,dysphoria
165,neutral
166,neutral
167,dysphoria
168,dysphoria
169,dysphoria
170,neutral
171,dysphoria
172,dysphoria
244,dysphoria
245,dysphoria
246,dysphoria
247,dysphoria
248,dysphoria
249,dysphoria
250,dysphoria
251,neutral
252,dysphoria
253,dysphoria
254,dysphoria
255,dysphoria
256,dysphoria
257,neutral
258,dysphoria
259,dysphoria
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,dysphoria
267,dysphoria
268,dysphoria
269,dysphoria
270,dysphoria
271,dysphoria
272,dysphoria
273,dysphoria
274,dysphoria
275,dysphoria
276,dysphoria
277,dysphoria
278,dysphoria
279,dysphoria
280,dysphoria
281,dysphoria
282,dysphoria
283,dysphoria
284,dysphoria
285,dysphoria
286,dysphoria
287,dysphoria
288,dysphoria
289,dysphoria
290,dysphoria
291,dysphoria
292,dysphoria
304,neutral
305,neutral
306,neutral
307,neutral
308,dysphoria
309,neutral
310,dysphoria
311,neutral
312,dysphoria
313,dysphoria
314,dysphoria
315,dysphoria
316,dysphoria
317,dysphoria
318,dysphoria
319,dysphoria
320,dysphoria
321,dysphoria
322,dysphoria
323,dysphoria
324,dysphoria
325,dysphoria
326,neutral
327,neutral
328,dysphoria
329,euphoria
330,euphoria
331,euphoria
332,euphoria
333,euphoria
334,dysphoria
335,euphoria
336,euphoria
337,neutral
338,dysphoria
339,dysphoria
340,dysphoria
341,dysphoria
342,dysphoria
365,neutral
366,dysphoria
367,dysphoria
368,dysphoria
369,neutral
370,neutral
371,dysphoria
372,dysphoria
373,dysphoria
374,dysphoria
406,neutral
407,neutral
420,dysphoria
421,dysphoria
422,dysphoria
423,dysphoria
424,dysphoria
425,dysphoria
426,dysphoria
427,dysphoria
428,dysphoria
429,neutral
430,neutral
431,dysphoria
432,neutral
433,euphoria
434,dysphoria
435,euphoria
436,euphoria
437,neutral
438,neutral
439,dysphoria
440,dysphoria
441,dysphoria
442,dysphoria
443,dysphoria
444,neutral
445,neutral
446,neutral
447,dysphoria
448,dysphoria
449,neutral
450,neutral
451,dysphoria
452,dysphoria
453,dysphoria
454,neutral
455,neutral
456,dysphoria
457,dysphoria
458,neutral
459,euphoria
472,dysphoria
479,dysphoria
490,neutral
491,neutral
492,dysphoria
493,dysphoria
494,dysphoria
495,neutral
496,dysphoria
497,dysphoria
498,dysphoria
499,dysphoria
500,dysphoria
501,euphoria
502,euphoria
503,euphoria
504,euphoria
505,euphoria
506,euphoria
507,euphoria
508,euphoria
509,neutral
510,neutral
513,dysphoria
514,dysphoria
515,dysphoria
516,dysphoria
517,dysphoria
518,dysphoria
519,dysphoria
520,dysphoria
521,dysphoria
522,dysphoria
523,neutral
524,dysphoria
525,neutral
526,neutral
527,neutral
528,dysphoria
529,neutral
530,dysphoria
531,dysphoria
532,dysphoria
533,neutral
534,dysphoria
535,dysphoria
536,dysphoria
538,dysphoria
539,dysphoria
540,dysphoria
541,dysphoria
542,dysphoria
543,dysphoria
545,dysphoria
546,neutral
547,neutral
548,neutral
549,dysphoria
550,dysphoria
552,neutral
553,neutral
554,neutral
555,neutral
556,euphoria
557,dysphoria
558,dysphoria
559,euphoria
560,neutral
561,dysphoria
562,neutral
563,euphoria
564,euphoria
565,euphoria
566,euphoria
567,euphoria
568,neutral
569,neutral
570,neutral
571,dysphoria
572,dysphoria
573,dysphoria
574,neutral
575,neutral
576,dysphoria
577,neutral
578,dysphoria
579,neutral
580,neutral
581,dysphoria
582,neutral
583,dysphoria
601,dysphoria
602,neutral
603,dysphoria
604,dysphoria
605,dysphoria
606,dysphoria
607,dysphoria
608,neutral
609,dysphoria
612,dysphoria
613,dysphoria
614,dysphoria
615,dysphoria
616,dysphoria
617,dysphoria
618,dysphoria
619,dysphoria
620,dysphoria
621,dysphoria
622,dysphoria
623,dysphoria
624,dysphoria
625,dysphoria
626,dysphoria
627,dysphoria
628,dysphoria
629,dysphoria
630,dysphoria
639,neutral
640,dysphoria
641,dysphoria
647,dysphoria
648,dysphoria
649,dysphoria
650,neutral
651,neutral
652,neutral
653,dysphoria
657,dysphoria
658,dysphoria
659,dysphoria
660,dysphoria
661,euphoria
662,dysphoria
689,dysphoria
690,dysphoria
691,neutral
692,neutral
693,neutral
694,neutral
695,dysphoria
696,dysphoria
697,neutral
698,dysphoria
699,dysphoria
700,dysphoria
701,dysphoria
702,dysphoria
703,dysphoria
704,dysphoria
705,dysphoria
706,dysphoria
707,dysphoria
708,dysphoria
709,dysphoria
710,dysphoria
711,dysphoria
712,dysphoria
713,dysphoria
714,neutral
723,neutral
724,neutral
725,neutral
726,neutral
727,dysphoria
728,neutral
729,neutral
730,neutral
731,neutral
732,neutral
733,dysphoria
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
744,dysphoria
745,dysphoria
746,dysphoria
747,dysphoria
748,dysphoria
749,dysphoria
750,dysphoria
751,dysphoria
752,dysphoria
753,dysphoria
754,dysphoria
755,dysphoria
756,dysphoria
757,dysphoria
758,dysphoria
759,dysphoria
760,dysphoria
761,dysphoria
762,dysphoria
763,dysphoria
764,dysphoria
765,dysphoria
766,dysphoria
767,dysphoria
768,dysphoria
769,dysphoria
770,dysphoria
771,dysphoria
772,euphoria
773,dysphoria
774,dysphoria
775,dysphoria
776,dysphoria
777,dysphoria
778,dysphoria
779,neutral
780,neutral
781,neutral
782,dysphoria
783,neutral
784,dysphoria
785,dysphoria
786,dysphoria
787,dysphoria
788,dysphoria
789,dysphoria
790,dysphoria
791,neutral
792,neutral
793,dysphoria
794,dysphoria
795,dysphoria
796,dysphoria
797,dysphoria
805,dysphoria
806,neutral
807,dysphoria
808,neutral
809,dysphoria
810,euphoria
811,euphoria
812,euphoria
813,euphoria
814,euphoria
815,euphoria
816,dysphoria
817,dysphoria
818,neutral
819,euphoria
820,euphoria
821,neutral
853,euphoria
854,neutral
855,neutral
856,dysphoria
857,neutral
858,neutral
859,dysphoria
860,euphoria
861,dysphoria
862,dysphoria
863,neutral
864,neutral
883,neutral
884,euphoria
885,euphoria
886,euphoria
887,euphoria
888,euphoria
889,euphoria
890,euphoria
891,euphoria
892,euphoria
903,neutral
904,neutral
908,neutral
909,neutral
910,neutral
911,neutral
912,dysphoria
913,neutral
914,dysphoria
915,neutral
916,euphoria
917,neutral
918,euphoria
919,dysphoria
920,neutral
921,dysphoria
922,dysphoria
923,dysphoria
924,dysphoria
925,dysphoria
926,dysphoria
927,dysphoria
928,neutral
929,dysphoria
930,neutral
931,dysphoria
932,euphoria
933,dysphoria
934,euphoria
935,dysphoria
936,euphoria
937,neutral
938,neutral
939,dysphoria
940,dysphoria
941,dysphoria
942,dysphoria
943,dysphoria
944,dysphoria
945,dysphoria
946,dysphoria
947,dysphoria
948,dysphoria
949,dysphoria
950,dysphoria
951,dysphoria
952,dysphoria
953,dysphoria
954,dysphoria
955,dysphoria
956,neutral
957,dysphoria
958,neutral
959,neutral
960,neutral
961,neutral
962,dysphoria
963,neutral
964,neutral
965,neutral
966,neutral
967,neutral
968,neutral
969,dysphoria
970,dysphoria
971,dysphoria
972,dysphoria
973,dysphoria
974,dysphoria
975,dysphoria
976,dysphoria
977,dysphoria
992,dysphoria
997,dysphoria
998,dysphoria
999,dysphoria
1000,dysphoria
1001,dysphoria
1016,neutral
1017,euphoria
1018,euphoria
1019,euphoria
1020,dysphoria
1021,dysphoria
1022,dysphoria
1023,dysphoria
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,neutral
1029,euphoria
1030,neutral
1031,neutral
1032,neutral
1033,neutral
1034,neutral
1035,neutral
1036,neutral
1037,dysphoria
1038,dysphoria
1039,neutral
1040,neutral
1041,neutral
1042,neutral
1043,dysphoria
1044,neutral
1045,dysphoria
1046,dysphoria
1047,dysphoria
1048,dysphoria
1049,neutral
1055,dysphoria
1056,dysphoria
1079,neutral
1080,neutral
1081,euphoria
1082,neutral
1083,neutral
